symbol,name,sector,industry,lending
1301,極洋,Materials,水産・農林業,貸借
1332,日本水産,Materials,水産・農林業,貸借
1333,マルハニチロ,Materials,水産・農林業,貸借
1352,ホウスイ,Industrials,卸売業,信用
1376,カネコ種苗,Materials,水産・農林業,信用
1377,サカタのタネ,Materials,水産・農林業,貸借
1378,雪国まいたけ,Materials,水産・農林業,貸借
1379,ホクト,Materials,水産・農林業,貸借
1380,秋川牧園,Materials,水産・農林業,信用
1381,アクシーズ,Materials,水産・農林業,信用
1382,ホーブ,Materials,水産・農林業,信用
1383,ベルグアース,Materials,水産・農林業,信用
1384,ホクリヨウ,Materials,水産・農林業,信用
1400,ルーデン・ホールディングス,Industrials,建設業,信用
1405,サーラ住宅,Industrials,建設業,信用
1407,ウエストホールディングス,Industrials,建設業,貸借
1408,サムシングホールディングス,Industrials,建設業,信用
1414,ショーボンドホールディングス,Industrials,建設業,貸借
1417,ミライト・ホールディングス,Industrials,建設業,貸借
1418,インターライフホールディングス,Industrials,建設業,貸借
1419,タマホーム,Industrials,建設業,貸借
1420,サンヨーホームズ,Industrials,建設業,貸借
1429,日本アクア,Industrials,建設業,信用
1491,中外鉱業,Materials,非鉄金属,信用
1514,住石ホールディングス,Energy,鉱業,貸借
1515,日鉄鉱業,Energy,鉱業,貸借
1518,三井松島産業,Energy,鉱業,貸借
1605,国際石油開発帝石,Energy,鉱業,貸借
1606,日本海洋掘削,Energy,鉱業,貸借
1662,石油資源開発,Energy,鉱業,貸借
1663,Ｋ＆Ｏエナジーグループ,Energy,鉱業,貸借
1711,省電舎,Industrials,建設業,信用
1712,ダイセキ環境ソリューション,Industrials,建設業,貸借
1716,第一カッター興業,Industrials,建設業,貸借
1717,明豊ファシリティワークス,Industrials,建設業,信用
1718,美樹工業,Industrials,建設業,信用
1719,安藤・間,Industrials,建設業,貸借
1720,東急建設,Industrials,建設業,貸借
1721,コムシスホールディングス,Industrials,建設業,貸借
1722,ミサワホーム,Industrials,建設業,貸借
1723,日本電技,Industrials,建設業,信用
1724,シンクレイヤ,Industrials,建設業,信用
1726,ビーアールホールディングス,Industrials,建設業,信用
1728,ミサワホーム中国,Industrials,建設業,信用
1730,麻生フオームクリート,Industrials,建設業,信用
1736,オーテック,Industrials,建設業,信用
1737,三井金属エンジニアリング,Industrials,建設業,信用
1739,シード平和,Industrials,建設業,信用
1743,コーアツ工業,Industrials,建設業,信用
1757,クレアホールディングス,Industrials,建設業,信用
1758,太洋基礎工業,Industrials,建設業,信用
1762,高松コンストラクショングループ,Industrials,建設業,貸借
1764,工藤建設,Industrials,建設業,信用
1766,東建コーポレーション,Industrials,建設業,貸借
1768,ソネック,Industrials,建設業,信用
1770,藤田エンジニアリング,Industrials,建設業,信用
1773,ワイ・ティー・エル・コーポレーション・バーハッド,Industrials,建設業,信用
1775,富士古河Ｅ＆Ｃ,Industrials,建設業,信用
1776,三井住建道路,Industrials,建設業,信用
1780,ヤマウラ,Industrials,建設業,貸借
1782,常磐開発,Industrials,建設業,信用
1783,Ａ．Ｃホールディングス,Industrials,建設業,信用
1787,ナカボーテック,Industrials,建設業,信用
1788,三東工業社,Industrials,建設業,信用
1789,山加電業,Industrials,建設業,貸借
1793,大本組,Industrials,建設業,信用
1795,マサル,Industrials,建設業,信用
1798,守谷商会,Industrials,建設業,信用
1799,第一建設工業,Industrials,建設業,信用
1801,大成建設,Industrials,建設業,貸借
1802,大林組,Industrials,建設業,貸借
1803,清水建設,Industrials,建設業,貸借
1805,飛島建設,Industrials,建設業,貸借
1807,佐藤渡辺,Industrials,建設業,信用
1808,長谷工コーポレーション,Industrials,建設業,貸借
1810,松井建設,Industrials,建設業,貸借
1811,錢高組,Industrials,建設業,貸借
1812,鹿島建設,Industrials,建設業,貸借
1813,不動テトラ,Industrials,建設業,貸借
1814,大末建設,Industrials,建設業,貸借
1815,鉄建建設,Industrials,建設業,貸借
1819,日鉄住金テックスエンジ,Industrials,建設業,貸借
1820,西松建設,Industrials,建設業,貸借
1821,三井住友建設,Industrials,建設業,貸借
1822,大豊建設,Industrials,建設業,貸借
1824,前田建設工業,Industrials,建設業,貸借
1826,佐田建設,Industrials,建設業,貸借
1827,ナカノフドー建設,Industrials,建設業,貸借
1828,田辺工業,Industrials,建設業,信用
1833,奥村組,Industrials,建設業,貸借
1834,大和小田急建設,Industrials,建設業,信用
1835,東鉄工業,Industrials,建設業,貸借
1840,土屋ホールディングス,Industrials,建設業,貸借
1841,サンユー建設,Industrials,建設業,信用
1844,大盛工業,Industrials,建設業,信用
1846,鈴縫工業,Industrials,建設業,信用
1847,イチケン,Industrials,建設業,信用
1848,富士ピー・エス,Industrials,建設業,信用
1850,南海辰村建設,Industrials,建設業,信用
1852,淺沼組,Industrials,建設業,貸借
1853,森組,Industrials,建設業,信用
1860,戸田建設,Industrials,建設業,貸借
1861,熊谷組,Industrials,建設業,貸借
1865,青木あすなろ建設,Industrials,建設業,信用
1866,北野建設,Industrials,建設業,貸借
1867,植木組,Industrials,建設業,貸借
1868,三井ホーム,Industrials,建設業,貸借
1870,矢作建設工業,Industrials,建設業,貸借
1871,ピーエス三菱,Industrials,建設業,信用
1873,東日本ハウス,Industrials,建設業,信用
1878,大東建託,Industrials,建設業,貸借
1879,新日本建設,Industrials,建設業,貸借
1881,ＮＩＰＰＯ,Industrials,建設業,貸借
1882,東亜道路工業,Industrials,建設業,貸借
1883,前田道路,Industrials,建設業,貸借
1884,日本道路,Industrials,建設業,貸借
1885,東亜建設工業,Industrials,建設業,貸借
1888,若築建設,Industrials,建設業,貸借
1890,東洋建設,Industrials,建設業,貸借
1893,五洋建設,Industrials,建設業,貸借
1896,大林道路,Industrials,建設業,貸借
1897,金下建設,Industrials,建設業,貸借
1898,世紀東急工業,Industrials,建設業,信用
1899,福田組,Industrials,建設業,貸借
1904,大成温調,Industrials,建設業,信用
1905,テノックス,Industrials,建設業,信用
1906,細田工務店,Industrials,建設業,信用
1909,日本ドライケミカル,Industrials,機械,信用
1911,住友林業,Industrials,建設業,貸借
1914,日本基礎技術,Industrials,建設業,貸借
1916,日成ビルド工業,Industrials,建設業,貸借
1919,ヤマダ・エスバイエルホーム,Industrials,建設業,貸借
1921,巴コーポレーション,Industrials,建設業,貸借
1924,パナホーム,Industrials,建設業,貸借
1925,大和ハウス工業,Industrials,建設業,貸借
1926,ライト工業,Industrials,建設業,貸借
1928,積水ハウス,Industrials,建設業,貸借
1929,日特建設,Industrials,建設業,貸借
1930,北陸電気工事,Industrials,建設業,貸借
1931,日本電通,Industrials,建設業,貸借
1933,ＳＹＳＫＥＮ,Industrials,建設業,貸借
1934,ユアテック,Industrials,建設業,貸借
1935,ＴＴＫ,Industrials,建設業,信用
1937,西部電気工業,Industrials,建設業,貸借
1938,日本リーテック,Industrials,建設業,信用
1939,四電工,Industrials,建設業,貸借
1941,中電工,Industrials,建設業,貸借
1942,関電工,Industrials,建設業,貸借
1944,きんでん,Industrials,建設業,貸借
1945,東京エネシス,Industrials,建設業,貸借
1946,トーエネック,Industrials,建設業,貸借
1948,弘電社,Industrials,建設業,信用
1949,住友電設,Industrials,建設業,貸借
1950,日本電設工業,Industrials,建設業,貸借
1951,協和エクシオ,Industrials,建設業,貸借
1952,新日本空調,Industrials,建設業,貸借
1954,日本工営,Industrials,サービス業,貸借
1956,ＮＤＳ,Industrials,建設業,貸借
1959,九電工,Industrials,建設業,貸借
1960,サンテック,Industrials,建設業,信用
1961,三機工業,Industrials,建設業,貸借
1963,日揮,Industrials,建設業,貸借
1964,中外炉工業,Industrials,建設業,貸借
1965,テクノ菱和,Industrials,建設業,貸借
1966,高田工業所,Industrials,建設業,信用
1967,ヤマト,Industrials,建設業,貸借
1968,太平電業,Industrials,建設業,貸借
1969,高砂熱学工業,Industrials,建設業,貸借
1971,中央ビルト工業,Materials,金属製品,信用
1972,三晃金属工業,Industrials,建設業,貸借
1973,ＮＥＣネッツエスアイ,Communication Services,情報･通信業,貸借
1975,朝日工業社,Industrials,建設業,貸借
1976,明星工業,Industrials,建設業,貸借
1979,大氣社,Industrials,建設業,貸借
1980,ダイダン,Industrials,建設業,貸借
1981,協和日成,Industrials,建設業,信用
1982,日比谷総合設備,Industrials,建設業,貸借
1983,東芝プラントシステム,Industrials,建設業,貸借
1984,三信建設工業,Industrials,建設業,信用
1987,ソルコム,Industrials,建設業,信用
1989,北陸電話工事,Industrials,建設業,信用
1992,神田通信機,Industrials,建設業,信用
1994,高橋カーテンウォール工業,Industrials,建設業,信用
1997,暁飯島工業,Industrials,建設業,信用
2001,日本製粉,Consumer Defensive,食料品,貸借
2002,日清製粉グループ本社,Consumer Defensive,食料品,貸借
2003,日東富士製粉,Consumer Defensive,食料品,信用
2004,昭和産業,Consumer Defensive,食料品,貸借
2006,東福製粉,Consumer Defensive,食料品,信用
2008,増田製粉所,Consumer Defensive,食料品,信用
2009,鳥越製粉,Consumer Defensive,食料品,信用
2053,中部飼料,Consumer Defensive,食料品,貸借
2055,日和産業,Consumer Defensive,食料品,貸借
2060,フィード・ワンホールディングス,Consumer Defensive,食料品,貸借
2107,東洋精糖,Consumer Defensive,食料品,信用
2108,日本甜菜製糖,Consumer Defensive,食料品,貸借
2109,三井製糖,Consumer Defensive,食料品,貸借
2112,塩水港精糖,Consumer Defensive,食料品,貸借
2114,フジ日本精糖,Consumer Defensive,食料品,信用
2117,日新製糖,Consumer Defensive,食料品,貸借
